frame_num,player_1_pos,player_2_pos,ball_pos
59,"(np.float32(1747.2861), np.float32(542.3498))","(np.float32(1773.4039), np.float32(76.445564))","(np.float32(1742.5021), np.float32(86.41354))"
60,"(np.float32(1746.976), np.float32(542.9632))","(np.float32(1773.6774), np.float32(76.51128))","(np.float32(1740.0409), np.float32(85.04621))"
61,"(np.float32(1746.8209), np.float32(543.3725))","(np.float32(1773.6774), np.float32(76.5461))","(np.float32(1737.5797), np.float32(83.95234))"
62,"(np.float32(1746.8209), np.float32(544.14374))","(np.float32(1773.9508), np.float32(76.53428))","(np.float32(1735.1185), np.float32(81.21767))"
63,"(np.float32(1746.8209), np.float32(544.70685))","(np.float32(1774.2242), np.float32(76.45559))","(np.float32(1732.9308), np.float32(78.483))"
64,"(np.float32(1746.8209), np.float32(544.8567))","(np.float32(1774.2242), np.float32(76.37215))","(np.float32(1730.4696), np.float32(75.47486))"
65,"(np.float32(1746.6658), np.float32(544.924))","(np.float32(1774.2242), np.float32(76.54222))","(np.float32(1727.4614), np.float32(70.55245))"
66,"(np.float32(1746.2006), np.float32(544.839))","(np.float32(1774.2242), np.float32(76.95319))","(np.float32(1724.4532), np.float32(74.36996))"
67,"(np.float32(1746.0454), np.float32(544.7236))","(np.float32(1774.2242), np.float32(77.36162))","(np.float32(1723.3594), np.float32(76.83116))"
68,"(np.float32(1745.7354), np.float32(544.58167))","(np.float32(1774.2242), np.float32(77.4217))","(np.float32(1768.133), np.float32(183.50429))"
69,"(np.float32(1745.115), np.float32(544.45905))","(np.float32(1774.2242), np.float32(77.42081))","(np.float32(1771.1412), np.float32(177.48802))"
70,"(np.float32(1744.0293), np.float32(544.417))","(np.float32(1774.2242), np.float32(77.57547))","(np.float32(1773.6024), np.float32(178.88376))"
71,"(np.float32(1741.703), np.float32(544.37396))","(np.float32(1774.2242), np.float32(77.52091))","(np.float32(1776.3372), np.float32(185.17351))"
72,"(np.float32(1738.6013), np.float32(544.33624))","(np.float32(1774.2242), np.float32(77.55369))","(np.float32(1778.7983), np.float32(191.46326))"
73,"(np.float32(1736.2749), np.float32(544.30817))","(np.float32(1774.2242), np.float32(77.520836))","(np.float32(1781.2595), np.float32(198.02646))"
74,"(np.float32(1732.5529), np.float32(544.28516))","(np.float32(1774.2242), np.float32(77.656265))","(np.float32(1783.7207), np.float32(204.31621))"
75,"(np.float32(1729.6062), np.float32(544.1938))","(np.float32(1773.9508), np.float32(77.74566))","(np.float32(1768.1407), np.float32(440.54364))"
76,"(np.float32(1728.0553), np.float32(544.03467))","(np.float32(1773.9508), np.float32(77.76557))","(np.float32(1768.606), np.float32(437.90717))"
77,"(np.float32(1726.1943), np.float32(544.0489))","(np.float32(1772.8569), np.float32(77.7202))","(np.float32(1770.7772), np.float32(431.70367))"
78,"(np.float32(1724.6434), np.float32(544.56024))","(np.float32(1771.4896), np.float32(77.65549))","(np.float32(1772.173), np.float32(425.65527))"
79,"(np.float32(1723.7129), np.float32(544.78))","(np.float32(1770.1223), np.float32(77.54228))","(np.float32(1773.5687), np.float32(422.39844))"
80,"(np.float32(1722.6273), np.float32(544.91156))","(np.float32(1769.0284), np.float32(77.342606))","(np.float32(1775.1196), np.float32(424.2978))"
81,"(np.float32(1721.3866), np.float32(545.1217))","(np.float32(1767.6611), np.float32(77.13371))","(np.float32(1776.2053), np.float32(425.0732))"
82,"(np.float32(1720.6111), np.float32(545.2311))","(np.float32(1766.5673), np.float32(77.06536))","(np.float32(1777.4459), np.float32(426.00375))"
83,"(np.float32(1719.6807), np.float32(545.22473))","(np.float32(1765.1998), np.float32(76.91156))","(np.float32(1778.5316), np.float32(426.77917))"
84,"(np.float32(1718.7501), np.float32(545.27))","(np.float32(1763.8325), np.float32(76.70875))","(np.float32(1779.6172), np.float32(427.70972))"
85,"(np.float32(1717.9746), np.float32(545.24896))","(np.float32(1763.186), np.float32(76.62621))","(np.float32(1780.8579), np.float32(428.48514))"
86,"(np.float32(1717.0442), np.float32(545.2173))","(np.float32(1765.0529), np.float32(76.65062))","(np.float32(1781.9435), np.float32(429.41568))"
87,"(np.float32(1715.3381), np.float32(545.242))","(np.float32(1768.7665), np.float32(76.57008))","(np.float32(1783.029), np.float32(430.1911))"
88,"(np.float32(1714.0974), np.float32(545.2397))","(np.float32(1771.5356), np.float32(76.69414))","(np.float32(1784.2698), np.float32(431.1216))"
89,"(np.float32(1713.4772), np.float32(545.2562))","(np.float32(1771.5356), np.float32(76.65078))","(np.float32(1785.3555), np.float32(431.89706))"
90,"(np.float32(1713.0118), np.float32(545.21655))","(np.float32(1771.5356), np.float32(76.66108))","(np.float32(1786.441), np.float32(433.44794))"
91,"(np.float32(1712.8568), np.float32(545.13934))","(np.float32(1771.5356), np.float32(76.657074))","(np.float32(1702.0006), np.float32(539.6676))"
92,"(np.float32(1712.0813), np.float32(544.7763))","(np.float32(1771.8314), np.float32(76.551186))","(np.float32(1700.915), np.float32(538.2718))"
93,"(np.float32(1711.1509), np.float32(544.0659))","(np.float32(1772.1271), np.float32(76.874344))","(np.float32(1699.6743), np.float32(535.9455))"
94,"(np.float32(1710.5305), np.float32(543.4696))","(np.float32(1772.1271), np.float32(77.05643))","(np.float32(1699.2091), np.float32(534.7048))"
95,"(np.float32(1710.5305), np.float32(542.72253))","(np.float32(1772.4229), np.float32(77.40971))","(np.float32(1790.008), np.float32(434.0683))"
