frame_num,player_1_pos,player_2_pos,ball_pos
58,"(np.float32(1733.3757), np.float32(542.14844))","(np.float32(1758.4088), np.float32(76.466835))","(np.float32(1730.2417), np.float32(87.77927))"
59,"(np.float32(1732.9105), np.float32(542.62494))","(np.float32(1758.6824), np.float32(76.443954))","(np.float32(1727.7805), np.float32(86.411934))"
60,"(np.float32(1732.6003), np.float32(543.23834))","(np.float32(1758.9558), np.float32(76.50967))","(np.float32(1725.3193), np.float32(85.0446))"
61,"(np.float32(1732.4452), np.float32(543.6477))","(np.float32(1758.9558), np.float32(76.54449))","(np.float32(1722.8582), np.float32(83.95073))"
62,"(np.float32(1732.4452), np.float32(544.4189))","(np.float32(1759.2292), np.float32(76.53267))","(np.float32(1720.397), np.float32(81.21606))"
63,"(np.float32(1732.4452), np.float32(544.982))","(np.float32(1759.5027), np.float32(76.45398))","(np.float32(1718.2092), np.float32(78.481384))"
64,"(np.float32(1732.4452), np.float32(545.1319))","(np.float32(1759.5027), np.float32(76.37054))","(np.float32(1715.748), np.float32(75.47325))"
65,"(np.float32(1732.2902), np.float32(545.1992))","(np.float32(1759.5027), np.float32(76.54061))","(np.float32(1712.7399), np.float32(70.55084))"
66,"(np.float32(1731.825), np.float32(545.1142))","(np.float32(1759.5027), np.float32(76.951584))","(np.float32(1709.7317), np.float32(74.37157))"
67,"(np.float32(1731.6698), np.float32(544.9987))","(np.float32(1759.5027), np.float32(77.36001))","(np.float32(1708.6378), np.float32(76.83277))"
68,"(np.float32(1731.3596), np.float32(544.8568))","(np.float32(1759.5027), np.float32(77.42009))","(np.float32(1777.1122), np.float32(183.85226))"
69,"(np.float32(1730.7393), np.float32(544.73425))","(np.float32(1759.5027), np.float32(77.4192))","(np.float32(1780.1204), np.float32(177.836))"
70,"(np.float32(1729.6537), np.float32(544.69214))","(np.float32(1759.5027), np.float32(77.57386))","(np.float32(1782.5815), np.float32(178.53578))"
71,"(np.float32(1727.3274), np.float32(544.6491))","(np.float32(1759.5027), np.float32(77.5193))","(np.float32(1785.3162), np.float32(184.82553))"
72,"(np.float32(1724.2256), np.float32(544.6114))","(np.float32(1759.5027), np.float32(77.55208))","(np.float32(1787.7773), np.float32(191.11526))"
73,"(np.float32(1721.8993), np.float32(544.5834))","(np.float32(1759.5027), np.float32(77.519226))","(np.float32(1790.2386), np.float32(197.67848))"
74,"(np.float32(1718.1772), np.float32(544.56036))","(np.float32(1759.5027), np.float32(77.65465))","(np.float32(1792.6998), np.float32(203.96823))"
75,"(np.float32(1715.2306), np.float32(544.46893))","(np.float32(1759.2292), np.float32(77.74405))","(np.float32(1773.6606), np.float32(440.98135))"
76,"(np.float32(1713.6797), np.float32(544.3098))","(np.float32(1759.2292), np.float32(77.76396))","(np.float32(1774.1259), np.float32(438.34488))"
77,"(np.float32(1711.8186), np.float32(544.32404))","(np.float32(1758.1354), np.float32(77.71859))","(np.float32(1776.2971), np.float32(432.1414))"
78,"(np.float32(1710.2677), np.float32(544.8354))","(np.float32(1756.7681), np.float32(77.65388))","(np.float32(1777.6929), np.float32(426.093))"
79,"(np.float32(1709.3373), np.float32(545.05524))","(np.float32(1755.4008), np.float32(77.540665))","(np.float32(1779.0886), np.float32(422.83615))"
80,"(np.float32(1708.2516), np.float32(545.1867))","(np.float32(1754.3069), np.float32(77.34099))","(np.float32(1780.6395), np.float32(423.86008))"
81,"(np.float32(1707.0109), np.float32(545.39685))","(np.float32(1752.9395), np.float32(77.1321))","(np.float32(1781.7251), np.float32(424.6355))"
82,"(np.float32(1706.2355), np.float32(545.5062))","(np.float32(1751.8457), np.float32(77.06375))","(np.float32(1782.9658), np.float32(425.56604))"
83,"(np.float32(1705.3049), np.float32(545.4999))","(np.float32(1750.4783), np.float32(76.90995))","(np.float32(1784.0515), np.float32(426.34146))"
84,"(np.float32(1704.3744), np.float32(545.54517))","(np.float32(1749.111), np.float32(76.70714))","(np.float32(1785.1371), np.float32(427.272))"
85,"(np.float32(1703.599), np.float32(545.5241))","(np.float32(1748.4437), np.float32(76.6246))","(np.float32(1786.3778), np.float32(428.04742))"
86,"(np.float32(1702.6685), np.float32(545.4925))","(np.float32(1749.9866), np.float32(76.64897))","(np.float32(1787.4634), np.float32(428.97797))"
